,term,post 1,post 2,jaccard post,edit post,kendall post,semantic post
0,Fire Fight Australia concert,11.454545454545455,11.454545454545455,1.1,,1.09,1.0
1,BTS online concert,12.952380952380953,13.047619047619047,1.0008314436885866,4.571428571428571,0.9497916809546795,0.9714155424208868
2,iHeartRadio concert,16.92,16.92,1.074798534798535,3.25,0.9787129955385507,0.9939849495887756
3,Andrea Bocelli concert,12.722222222222221,12.722222222222221,1.1,,1.09,1.0
4,Meerkat Music Take That concert,17.92,17.92,1.1,,1.09,1.0
5,Ryan Newman,13.642857142857142,13.642857142857142,1.0771062271062273,3.0,0.9888206442161214,0.99495929479599
6,Michael Jordan,17.166666666666668,17.166666666666668,0.9628724216959511,6.5,0.6505881742452726,0.9649230241775513
7,Tyson Fury,16.833333333333332,16.833333333333332,0.9176351506786289,7.142857142857143,0.7239422573450188,0.939762199918429
8,Tom Brady,16.6,16.6,0.8032507460333546,8.857142857142858,0.4906267810913628,0.9135269165039063
9,Mike Tyson,14.5,14.5,1.0064123376623377,5.230769230769231,0.7399032287576622,0.9752935841679573
10,Alex Zanardi,12.95,12.95,1.0475757575757576,4.428571428571429,0.9341296482276941,0.9869999498128891
11,Delonte West,14.166666666666666,14.166666666666666,1.0179647837542574,4.625,0.7320594078044287,0.9765055229266485
12,Drew Brees,13.6,13.6,1.0038461538461538,7.0,0.8813487509108286,0.96666974623998
13,Thiago Silva,12.3,12.3,0.9469579493956933,4.294117647058823,0.6989756415573593,0.9602392882108688
14,Tiger King,16.153846153846153,16.153846153846153,1.0635854341736697,2.8333333333333335,0.880483764332399,0.988830213363354
15,Big Brother Brasil,13.470588235294118,13.529411764705882,1.0590017825311944,3.375,0.9467062302395993,0.9935662571121665
16,Money Heist,13.714285714285714,13.714285714285714,1.0184704184704185,4.0,0.8212767557297735,0.9686876918588366
17,Cobra Kai,14.416666666666666,14.416666666666666,0.9687445887445887,5.142857142857143,0.7653443486090096,0.9623170991738638
18,The Umbrella Academy,12.1875,12.1875,0.9293067226890758,5.0,0.7406247444823059,0.9418153241276741
19,Emily in Paris,13.6,13.6,0.9483553387330477,6.0,0.7065491956155661,0.9602179527282715
20,The Queen's Gambit,13.384615384615385,13.384615384615385,0.9943230682361117,7.25,0.9154669782272148,0.9620369214278001
21,Outer Banks,15.166666666666666,15.166666666666666,1.0085858585858585,5.571428571428571,0.8129041982225322,0.9763785650332769
22,Locke & Key,13.1,13.1,1.0251515151515151,4.375,0.7190185045329095,0.981358015537262
23,Parasite,11.88888888888889,11.88888888888889,0.9412910224504427,5.153846153846154,0.6477567836206999,0.9414166775014665
24,1917,18.625,18.625,0.9606632005569026,7.416666666666667,0.595322255338372,0.9535173922777176
25,Black Panther,14.125,14.125,0.9580273892773893,6.0,0.6084602491338397,0.9516864232718945
26,365 Dni,17.666666666666668,17.666666666666668,1.031140350877193,5.5,0.8294444321634172,0.9824384997288386
27,Mulan,16.833333333333332,16.833333333333332,0.9548183298183298,5.923076923076923,0.6116282571958337,0.9437923894988166
28,Jojo Rabbit,13.428571428571429,13.428571428571429,0.8148782589959059,7.0,0.6359901824595635,0.9121700780732291
29,Together At Home concert,13.666666666666666,13.666666666666666,0.9217592592592592,4.666666666666667,0.8123763989939234,0.9449555079142252
30,Garth Brooks drive in concert,10.0,8.25,0.6964912280701754,12.0,0.7860948366141477,0.871971920132637
31,Travis Scott Fortnite concert,19.291666666666668,19.291666666666668,1.1,2.25,1.0584945391147011,1.0
32,Elton John concert,12.882352941176471,12.882352941176471,1.0444444444444445,5.5,1.021986969875727,0.980328223284553
33,Metallica drive in concert,7.75,5.25,0.726984126984127,3.0,0.5690751910352077,0.772731140255928
34,Ozark,13.5,13.5625,0.9875003808827338,5.9,0.6949283144440609,0.9570488594472408
35,Contagion,16.2,16.266666666666666,0.991924371924372,5.111111111111111,0.7942563425336884,0.9550649801890055
36,Tenet,13.6875,13.6875,1.0088219259128872,5.222222222222222,0.730643088439889,0.9636866040527821
37,Enola Holmes,14.411764705882353,14.411764705882353,0.9860482654600302,6.4,0.7788749151031136,0.9727557757321526
